Station,Timestamp,GPP.mol_m2,GPP_err,fAPAR,PPFD.mol_m2,VPD.kPa,ALPHA,Tc.deg_C,CO2.ppm,Patm.Pa
AU-Tum,2002-09-01,8.2347,0.7126,0.3152,1061.9090,0.5131,1.260,8.00,372.42,88142.57
AU-Tum,2002-10-01,12.6957,0.9920,0.3208,1476.6324,0.9101,1.254,10.80,372.42,88142.57
AU-Tum,2002-11-01,13.8834,1.8576,0.3090,1674.9993,1.2584,0.666,17.00,372.42,88142.57
AU-Tum,2002-12-01,18.0065,1.9250,0.2895,1835.4460,1.3233,0.334,17.60,372.42,88142.57
AU-Tum,2003-01-01,10.7080,0.3963,0.3004,1823.5358,1.6924,0.207,20.50,374.97,88142.57
AU-Tum,2003-02-01,16.0986,1.5217,0.2560,1455.2548,1.5382,0.379,20.20,374.97,88142.57
AU-Tum,2003-03-01,11.9735,1.5284,0.2610,1273.6188,1.1025,0.591,14.60,374.97,88142.57
AU-Tum,2003-04-01,6.3277,0.2219,0.2938,938.7535,0.6207,0.813,11.20,374.97,88142.57
AU-Tum,2003-05-01,6.9186,0.4361,0.2888,717.0713,0.5227,1.163,8.40,374.97,88142.57
AU-Tum,2003-06-01,4.8172,0.5711,0.3027,459.0024,0.3104,1.259,5.40,374.97,88142.57
AU-Tum,2003-07-01,5.3370,0.5913,0.3003,564.7147,0.3535,1.260,4.00,374.97,88142.57
AU-Tum,2003-08-01,3.8510,0.5742,0.2777,671.7955,0.3645,1.259,4.70,374.97,88142.57
AU-Tum,2003-11-01,8.1668,0.3302,0.3401,1739.4894,1.1564,1.257,14.40,374.97,88142.57
AU-Tum,2003-12-01,13.6425,1.6684,0.3303,1819.7297,1.3942,1.056,18.10,374.97,88142.57
AU-Tum,2004-01-01,18.4735,1.8124,0.3244,1869.6324,1.3972,0.528,18.40,376.78,88142.57
AU-Tum,2004-02-01,14.7448,1.5186,0.3203,1576.4337,1.5836,0.374,20.10,376.78,88142.57
AU-Tum,2004-03-01,18.7239,1.8170,0.3108,1492.6914,1.2584,0.302,17.00,376.78,88142.57
AU-Tum,2004-04-01,13.1651,1.4711,0.3055,1051.5705,0.7447,0.479,12.50,376.78,88142.57
AU-Tum,2004-07-01,7.4669,0.7459,0.3511,521.9749,0.2980,1.259,3.00,376.78,88142.57
AU-Tum,2004-08-01,7.1167,0.8114,0.3541,670.2286,0.4287,1.259,5.10,376.78,88142.57
AU-Tum,2004-09-01,9.7408,1.0838,0.3201,864.5642,0.5336,1.260,7.40,376.78,88142.57
AU-Tum,2004-10-01,15.9543,1.8539,0.3678,1387.8797,0.8463,1.260,11.10,376.78,88142.57
AU-Tum,2004-11-01,10.6538,1.4648,0.3453,1501.9096,0.9729,1.259,13.40,376.78,88142.57
AU-Tum,2004-12-01,20.8456,2.4536,0.3438,1800.5034,1.1331,1.143,15.90,376.78,88142.57
AU-Tum,2005-01-01,19.6435,1.9903,0.3364,1727.7217,1.4513,0.718,18.90,378.81,88142.57
AU-Tum,2005-02-01,20.5624,1.5959,0.3414,1303.1205,1.2799,0.851,16.30,378.81,88142.57
AU-Tum,2005-03-01,16.1141,0.5403,0.3323,1423.3139,1.0758,0.806,14.30,378.81,88142.57
AU-Tum,2005-04-01,15.9730,1.5071,0.3325,1003.4126,0.8791,0.644,14.00,378.81,88142.57
AU-Tum,2005-05-01,11.4596,1.2890,0.3137,769.2772,0.6115,0.758,8.20,378.81,88142.57
AU-Tum,2005-06-01,7.7589,0.8925,0.3006,476.5675,0.3683,1.246,6.30,378.81,88142.57
AU-Tum,2005-08-01,9.4355,1.2744,0.2975,832.7662,0.4858,1.259,5.80,378.81,88142.57
AU-Tum,2005-09-01,8.0988,0.2704,0.3133,795.9871,0.5150,1.259,7.70,378.81,88142.57
AU-Tum,2005-10-01,14.4876,1.2871,0.3439,1267.4942,0.7929,1.260,11.40,378.81,88142.57
AU-Tum,2005-11-01,20.8579,1.0105,0.3670,1593.1204,0.9653,1.260,14.20,378.81,88142.57
AU-Tum,2005-12-01,21.5026,1.3168,0.3447,1939.9446,1.1818,0.836,16.70,378.81,88142.57
AU-Wac,2005-08-01,9.7606,1.5652,0.4119,642.5153,0.3830,1.259,8.80,378.81,95153.38
AU-Wac,2005-09-01,13.4134,1.1485,0.4873,658.1727,0.4572,1.260,10.70,378.81,95153.38
AU-Wac,2005-10-01,16.3552,0.9777,0.5163,1019.7423,0.6534,1.259,13.70,378.81,95153.38
AU-Wac,2005-11-01,19.9722,1.2894,0.4479,1172.7494,0.8878,1.233,16.50,378.81,95153.38
AU-Wac,2006-06-01,5.0676,0.2887,0.3961,327.8614,0.3816,1.260,6.50,380.93,95153.38
BE-Bra,2002-02-01,2.3623,0.2411,0.3135,250.1634,0.1691,1.259,7.10,372.42,101139.31
BE-Bra,2002-03-01,5.0317,0.0944,0.3271,523.4535,0.2450,1.260,7.70,372.42,101139.31
BE-Bra,2002-04-01,7.5452,0.3056,0.3851,783.0412,0.3599,1.259,9.60,372.42,101139.31
BE-Bra,2002-05-01,9.6630,0.1526,0.4563,912.6956,0.3630,1.260,13.50,372.42,101139.31
BE-Bra,2002-06-01,11.3899,0.1985,0.4948,1005.6180,0.4807,1.203,17.10,372.42,101139.31
BE-Bra,2002-07-01,12.6139,0.2091,0.5170,938.5104,0.4812,1.147,18.00,372.42,101139.31
BE-Bra,2002-08-01,15.0016,0.7902,0.5100,812.5699,0.4313,1.256,18.90,372.42,101139.31
BE-Bra,2002-09-01,8.2194,0.1757,0.4519,637.6149,0.3432,1.260,14.70,372.42,101139.31
BE-Bra,2002-10-01,5.2546,0.3868,0.4206,355.6762,0.2002,1.259,9.90,372.42,101139.31
BE-Bra,2004-03-01,3.8700,0.1208,0.3451,501.4668,0.2183,1.260,6.50,376.78,101139.31
BE-Bra,2004-04-01,7.1414,0.7230,0.3913,741.3666,0.3715,1.260,10.70,376.78,101139.31
BE-Bra,2004-05-01,13.8932,0.6063,0.4478,996.2982,0.4295,1.259,12.60,376.78,101139.31
BE-Bra,2004-06-01,16.6899,0.7120,0.4942,982.2234,0.4864,1.093,16.10,376.78,101139.31
BE-Bra,2004-07-01,16.5318,1.3152,0.5073,919.2213,0.4943,1.073,17.40,376.78,101139.31
BE-Bra,2004-08-01,16.8197,1.6852,0.5119,922.0038,0.5257,1.245,19.20,376.78,101139.31
BE-Bra,2004-09-01,7.5998,0.2272,0.4735,652.1044,0.4086,1.259,15.60,376.78,101139.31
BE-Bra,2005-05-01,14.5299,0.8607,0.4538,1185.3167,0.4330,1.259,13.10,378.81,101139.31
BE-Bra,2005-06-01,17.8351,1.1769,0.4586,1309.5616,0.6982,1.106,17.90,378.81,101139.31
BE-Bra,2005-07-01,18.7866,1.2981,0.5288,1096.5444,0.5238,1.154,18.40,378.81,101139.31
BE-Bra,2005-10-01,6.2231,0.1903,0.4302,449.1189,0.2680,1.260,13.50,378.81,101139.31
