Station,Timestamp,GPP.mol_m2,GPP_err,fAPAR,PPFD.mol_m2,VPD.kPa,ALPHA,Tc.deg_C,CO2.ppm,Patm.Pa
DE-Tha,2002-11-01,4.0907,0.2261,0.2395,159.3864,0.1645,1.260,4.70,372.42,96988.79
DE-Tha,2003-03-01,7.9503,0.3110,0.1870,597.3528,0.2685,1.260,4.60,374.97,96988.79
DE-Tha,2003-04-01,11.9453,0.4877,0.2103,877.8018,0.4378,1.260,8.20,374.97,96988.79
DE-Tha,2003-05-01,24.9949,0.6578,0.4300,1111.0892,0.6224,1.096,15.10,374.97,96988.79
DE-Tha,2003-06-01,15.3167,0.3046,0.5024,1293.6085,0.9546,0.461,19.90,374.97,96988.79
DE-Tha,2003-07-01,12.6944,0.3173,0.4474,1058.6716,0.6181,0.672,19.00,374.97,96988.79
DE-Tha,2003-08-01,14.5693,0.6095,0.3894,1119.4490,1.0308,0.421,21.10,374.97,96988.79
DE-Tha,2003-09-01,9.4625,0.1682,0.3161,734.8911,0.4795,0.507,14.80,374.97,96988.79
DE-Tha,2003-10-01,8.1985,0.2683,0.2801,364.7147,0.0545,1.195,4.70,374.97,96988.79
DE-Tha,2003-11-01,4.7833,0.2079,0.2317,244.4965,0.1390,1.259,5.90,374.97,96988.79
DE-Tha,2004-03-01,5.6256,0.1191,0.2069,556.0349,0.1498,1.260,3.40,376.78,96988.79
DE-Tha,2004-04-01,15.4113,0.4404,0.2379,851.4007,0.4361,1.259,9.80,376.78,96988.79
DE-Tha,2004-05-01,22.3607,0.5322,0.4633,842.9812,0.3496,1.260,11.30,376.78,96988.79
DE-Tha,2004-06-01,28.2452,0.7782,0.5381,1069.1287,0.5300,1.141,15.70,376.78,96988.79
DE-Tha,2004-07-01,26.9734,0.6584,0.4920,1124.1216,0.6106,0.764,17.50,376.78,96988.79
DE-Tha,2004-08-01,22.1434,0.6098,0.4007,1004.7215,0.6344,0.693,18.90,376.78,96988.79
DE-Tha,2004-09-01,10.9537,0.1575,0.3632,741.3974,0.4395,0.743,14.10,376.78,96988.79
DE-Tha,2004-10-01,7.9230,0.1060,0.3243,429.2122,0.1819,1.177,9.30,376.78,96988.79
DE-Tha,2004-11-01,3.4381,0.1581,0.2765,135.9470,0.0743,1.259,3.30,376.78,96988.79
DE-Tha,2005-01-01,2.0266,0.1310,0.2188,123.8080,0.0234,1.260,-0.40,378.81,96988.79
DE-Tha,2005-04-01,15.7981,0.4646,0.2605,784.8456,0.4975,1.259,10.30,378.81,96988.79
DE-Tha,2005-05-01,22.6354,0.5886,0.4494,962.2808,0.5279,1.249,13.40,378.81,96988.79
DE-Tha,2005-06-01,29.1823,0.7799,0.5484,1113.1876,0.6459,0.833,16.40,378.81,96988.79
DE-Tha,2005-07-01,27.9307,0.8015,0.4803,1008.6964,0.6639,1.011,18.60,378.81,96988.79
DE-Tha,2005-08-01,23.2136,0.6390,0.4437,827.4898,0.5078,1.218,16.50,378.81,96988.79
DE-Tha,2005-09-01,17.8508,0.6336,0.4050,737.5342,0.5400,1.024,15.70,378.81,96988.79
DE-Tha,2005-10-01,12.1861,0.3329,0.3517,463.6700,0.2958,1.157,10.80,378.81,96988.79
DE-Tha,2005-11-01,4.3329,0.0733,0.3182,207.3427,0.1126,1.260,3.40,378.81,96988.79
DE-Tha,2006-04-01,13.9822,0.5464,0.2710,732.3524,0.3784,1.259,9.00,380.93,96988.79
DE-Tha,2006-05-01,23.5125,0.8969,0.4608,1098.9101,0.5330,1.259,13.10,380.93,96988.79
DE-Tha,2006-06-01,24.9179,1.1541,0.5294,1207.8714,0.6860,0.942,17.70,380.93,96988.79
DE-Tha,2006-08-01,21.6286,0.8098,0.3990,722.5064,0.3815,1.000,15.80,380.93,96988.79
DE-Tha,2006-09-01,18.7118,0.7514,0.3973,818.0256,0.5907,0.715,17.10,380.93,96988.79
DE-Tha,2006-10-01,10.9295,1.0767,0.3521,422.1144,0.2601,1.170,11.70,380.93,96988.79
DE-Tha,2006-11-01,5.7370,0.3137,0.3018,211.4189,0.2019,1.260,6.80,380.93,96988.79
DE-Tha,2006-12-01,3.0895,0.2404,0.2815,139.0636,0.1181,1.260,3.50,380.93,96988.79
DE-Wet,2002-02-01,2.6178,0.5484,0.2446,211.3215,0.1409,1.260,4.30,372.42,92534.00
DE-Wet,2002-04-01,13.0731,0.6558,0.3396,728.4354,0.2391,1.260,7.10,372.42,92534.00
DE-Wet,2002-05-01,20.0082,1.2428,0.4656,898.3175,0.4180,1.260,13.50,372.42,92534.00
DE-Wet,2002-06-01,24.9879,1.6622,0.4942,1157.0143,0.5931,1.258,17.20,372.42,92534.00
DE-Wet,2002-07-01,26.0555,1.7678,0.4612,953.8291,0.5381,1.216,17.40,372.42,92534.00
DE-Wet,2002-08-01,14.4061,0.5139,0.4078,879.1057,0.5439,1.211,18.30,372.42,92534.00
DE-Wet,2002-09-01,15.6203,1.0113,0.3438,652.8948,0.3070,1.259,12.10,372.42,92534.00
DE-Wet,2002-10-01,7.2688,0.5600,0.3214,306.6726,0.1836,1.260,7.40,372.42,92534.00
DE-Wet,2002-11-01,3.6503,0.3787,0.2881,162.3316,0.1457,1.260,5.00,372.42,92534.00
DE-Wet,2003-05-01,20.7572,1.1650,0.4226,1069.5565,0.5653,1.256,14.20,374.97,92534.00
DE-Wet,2003-06-01,24.1761,2.2337,0.4862,1370.8938,0.7806,0.820,18.60,374.97,92534.00
DE-Wet,2003-09-01,13.5481,1.2163,0.3148,731.4870,0.3881,0.678,13.60,374.97,92534.00
DE-Wet,2003-10-01,6.5095,0.7284,0.3065,362.9800,0.1056,1.253,5.00,374.97,92534.00
DE-Wet,2003-11-01,2.8533,0.4437,0.2555,201.1420,0.1293,1.259,5.70,374.97,92534.00
DE-Wet,2004-04-01,13.6107,0.9498,0.3175,883.5104,0.3607,1.259,8.90,376.78,92534.00
DE-Wet,2004-05-01,20.5473,0.9064,0.4586,876.0392,0.3672,1.259,10.70,376.78,92534.00
DE-Wet,2004-06-01,24.8138,1.5887,0.4826,1074.6407,0.4749,1.260,14.90,376.78,92534.00
DE-Wet,2004-07-01,22.1169,1.2888,0.4167,1047.2827,0.5558,1.118,16.60,376.78,92534.00
DE-Wet,2004-08-01,20.0729,1.3434,0.3743,929.4301,0.5905,0.830,18.30,376.78,92534.00
DE-Wet,2004-09-01,14.3319,0.8745,0.3452,711.6437,0.4083,0.876,13.70,376.78,92534.00
DE-Wet,2004-10-01,10.0923,0.6521,0.3223,413.9743,0.2543,1.235,9.90,376.78,92534.00
DE-Wet,2005-04-01,15.6309,1.7428,0.3230,788.2218,0.3762,1.259,9.10,378.81,92534.00
DE-Wet,2005-05-01,20.7203,1.2861,0.4229,1099.8003,0.5088,1.259,12.80,378.81,92534.00
DE-Wet,2005-07-01,26.4616,1.5798,0.4014,1093.0420,0.6082,0.807,17.90,378.81,92534.00
DE-Wet,2005-08-01,20.4665,1.1040,0.3900,862.1405,0.4460,1.054,15.40,378.81,92534.00
DE-Wet,2005-09-01,10.3614,0.3357,0.3568,712.6204,0.4550,1.080,14.90,378.81,92534.00
DE-Wet,2005-10-01,10.5027,0.6247,0.3253,509.2083,0.2858,1.258,10.80,378.81,92534.00
DE-Wet,2005-11-01,5.3645,0.6467,0.3153,176.8481,0.1153,1.260,3.50,378.81,92534.00
DE-Wet,2006-04-01,13.4963,0.8507,0.2781,685.9198,0.3258,1.259,7.90,380.93,92534.00
DE-Wet,2006-05-01,20.1276,0.9955,0.4357,1042.2070,0.5085,1.259,12.90,380.93,92534.00
DE-Wet,2006-06-01,22.7923,1.4270,0.4655,1216.4652,0.5958,1.200,16.60,380.93,92534.00
DE-Wet,2006-08-01,20.2430,0.9920,0.3873,664.9816,0.2978,1.182,14.60,380.93,92534.00
DE-Wet,2006-09-01,16.6568,1.1444,0.3772,820.9893,0.5500,0.902,16.80,380.93,92534.00
DE-Wet,2006-10-01,8.6350,0.6985,0.3402,360.6992,0.2692,1.184,11.80,380.93,92534.00
DE-Wet,2006-11-01,4.7255,0.4999,0.3092,166.2464,0.1917,1.259,6.70,380.93,92534.00
DK-Fou,2005-03-01,4.1083,0.1182,0.2361,931.4242,0.0417,1.259,1.10,378.81,100734.08
DK-Fou,2005-04-01,5.5668,0.0704,0.2758,980.3382,0.2571,1.259,7.50,378.81,100734.08
DK-Fou,2005-05-01,7.6025,0.4767,0.5177,1239.1668,0.2772,1.260,10.70,378.81,100734.08
DK-Fou,2005-06-01,8.3129,0.0922,0.5869,1265.8907,0.3585,1.260,13.80,378.81,100734.08
DK-Fou,2005-07-01,16.6303,0.9622,0.5159,1085.5640,0.4331,1.259,17.20,378.81,100734.08
DK-Fou,2005-08-01,22.5462,0.8112,0.4036,971.4271,0.3500,1.184,15.70,378.81,100734.08
DK-Fou,2005-09-01,13.1289,0.2107,0.4000,714.0333,0.3353,1.057,14.20,378.81,100734.08
DK-Fou,2005-10-01,5.6845,0.5972,0.3669,385.0729,0.1615,1.255,10.70,378.81,100734.08
DK-Lva,2005-01-01,0.6631,0.0271,0.2095,117.5222,0.0820,1.260,2.70,378.81,101150.91
DK-Lva,2005-04-01,8.1581,0.4114,0.2572,907.1502,0.2807,1.260,7.50,378.81,101150.91
DK-Lva,2005-05-01,16.4107,0.5270,0.4635,1132.4585,0.3296,1.259,11.30,378.81,101150.91
DK-Lva,2005-06-01,14.3088,0.6234,0.5502,1251.6802,0.3648,0.828,14.10,378.81,101150.91
DK-Lva,2005-08-01,17.7734,0.2202,0.3277,936.4957,0.3447,0.750,16.00,378.81,101150.91
DK-Lva,2005-09-01,7.2241,0.2647,0.3235,621.6861,0.3804,0.666,14.90,378.81,101150.91
DK-Lva,2005-10-01,4.2426,0.0774,0.3020,397.3266,0.1731,1.170,11.00,378.81,101150.91
DK-Lva,2005-11-01,5.2324,0.2203,0.2717,143.7725,0.0625,1.259,5.80,378.81,101150.91
DK-Lva,2005-12-01,2.5680,0.1324,0.2332,92.4165,0.0708,1.259,1.90,378.81,101150.91
DK-Lva,2006-03-01,2.6386,0.2584,0.1991,560.1283,0.0678,1.260,-0.30,380.93,101150.91
DK-Lva,2006-04-01,10.1254,0.1287,0.2174,689.4725,0.1490,1.260,5.90,380.93,101150.91
DK-Lva,2006-05-01,31.3806,0.6371,0.4241,1123.2673,0.3719,1.259,11.50,380.93,101150.91
DK-Lva,2006-06-01,24.3779,0.9110,0.4732,1279.0316,0.5331,1.005,15.90,380.93,101150.91
DK-Lva,2006-08-01,27.7344,0.6463,0.3135,895.7977,0.4170,1.122,17.50,380.93,101150.91
DK-Lva,2006-09-01,15.4621,0.2587,0.3392,721.8292,0.4258,1.260,16.60,380.93,101150.91
DK-Lva,2006-10-01,9.1474,0.2681,0.3492,294.9786,0.2010,1.259,12.30,380.93,101150.91
DK-Lva,2006-11-01,4.9069,0.0977,0.3290,130.2791,0.1171,1.260,7.50,380.93,101150.91
DK-Lva,2006-12-01,2.8376,0.0632,0.2702,62.3243,0.1616,1.260,6.40,380.93,101150.91
DK-Ris,2004-03-01,6.2359,0.5069,0.2049,269.5583,0.1607,1.259,3.90,376.78,101208.91
DK-Ris,2004-04-01,19.6417,1.1097,0.2761,466.5029,0.2904,1.259,8.10,376.78,101208.91
DK-Ris,2004-05-01,28.1183,1.3703,0.4658,612.1144,0.3901,1.250,11.70,376.78,101208.91
DK-Ris,2004-06-01,20.4573,1.1542,0.4872,528.6626,0.2981,1.069,13.60,376.78,101208.91
DK-Ris,2004-08-01,8.9607,0.5705,0.3526,502.1730,0.5005,0.961,18.30,376.78,101208.91
DK-Ris,2005-04-01,8.2248,0.4023,0.2572,469.7597,0.2807,1.260,7.50,378.81,101208.91
DK-Ris,2005-05-01,23.4429,0.8727,0.4635,530.3705,0.3296,1.259,11.30,378.81,101208.91
DK-Ris,2005-06-01,29.9419,1.3671,0.5502,620.9622,0.3648,0.828,14.10,378.81,101208.91
DK-Ris,2005-07-01,16.2631,0.8679,0.4355,607.0378,0.4942,0.779,18.10,378.81,101208.91
DK-Sor,2002-04-01,5.1150,0.2054,0.3383,627.7767,0.1719,1.259,6.80,372.42,100861.30
DK-Sor,2002-05-01,21.6778,0.5564,0.5136,1004.3775,0.2552,1.260,12.40,372.42,100861.30
DK-Sor,2002-06-01,27.3190,0.3238,0.6122,1273.1618,0.3200,1.049,15.70,372.42,100861.30
DK-Sor,2002-07-01,21.8004,0.2338,0.4561,1010.7817,0.3824,1.091,17.70,372.42,100861.30
DK-Sor,2002-08-01,16.9905,0.1787,0.3486,966.0577,0.5336,0.978,20.10,372.42,100861.30
DK-Sor,2002-09-01,11.2147,0.4483,0.3083,720.3860,0.4436,0.953,15.20,372.42,100861.30
DK-Sor,2002-10-01,3.1907,0.2062,0.2813,321.1381,0.1614,1.260,7.70,372.42,100861.30
DK-Sor,2003-04-01,5.3300,0.3352,0.2366,844.4136,0.2550,1.260,6.60,374.97,100861.30
DK-Sor,2003-05-01,22.7113,0.7599,0.5499,996.6789,0.2510,1.259,11.60,374.97,100861.30
DK-Sor,2003-06-01,29.0251,0.2862,0.6095,1130.6451,0.4047,1.058,16.00,374.97,100861.30
DK-Sor,2003-07-01,22.6899,0.3004,0.4349,1079.8719,0.4472,0.797,18.50,374.97,100861.30
DK-Sor,2003-08-01,16.9497,0.4720,0.3134,975.5693,0.5538,0.704,18.40,374.97,100861.30
DK-Sor,2003-09-01,13.1180,0.1553,0.3005,645.8017,0.4078,0.860,14.60,374.97,100861.30
DK-Sor,2003-10-01,7.0502,0.3511,0.2922,363.5166,0.1385,1.260,6.80,374.97,100861.30
DK-Sor,2004-04-01,3.9705,1.2294,0.2957,851.3467,0.2705,1.259,8.10,376.78,100861.30
DK-Sor,2004-05-01,31.8891,1.2707,0.4762,1056.5234,0.3655,1.260,11.70,376.78,100861.30
DK-Sor,2004-06-01,34.9606,1.2276,0.5729,962.1700,0.2834,1.162,13.70,376.78,100861.30
DK-Sor,2004-07-01,25.9341,0.3272,0.4770,1079.0175,0.2986,0.982,15.60,376.78,100861.30
DK-Sor,2004-08-01,19.7556,0.2644,0.3520,1074.5598,0.4838,0.839,18.40,376.78,100861.30
DK-Sor,2004-09-01,19.7918,0.5819,0.3289,744.6260,0.4078,1.062,14.60,376.78,100861.30
DK-Sor,2004-10-01,9.4473,0.8712,0.3013,336.5479,0.1733,1.259,10.30,376.78,100861.30
DK-Sor,2005-04-01,7.0200,0.2803,0.2588,906.7237,0.2850,1.259,7.70,378.81,100861.30
DK-Sor,2005-05-01,19.0258,0.2803,0.5063,1119.9919,0.3051,1.259,11.20,378.81,100861.30
DK-Sor,2005-06-01,32.0787,0.4779,0.6100,1227.9517,0.3658,0.932,14.30,378.81,100861.30
DK-Sor,2005-07-01,25.0993,0.3232,0.4582,1096.9114,0.4973,0.805,18.20,378.81,100861.30
DK-Sor,2005-08-01,27.0440,1.0541,0.3208,1007.7622,0.3464,0.782,16.10,378.81,100861.30
DK-Sor,2005-09-01,17.0773,0.5639,0.3110,617.3056,0.3991,0.784,15.30,378.81,100861.30
DK-Sor,2005-10-01,7.7603,0.1103,0.3145,383.3661,0.2246,1.218,11.80,378.81,100861.30
DK-Sor,2006-04-01,3.8154,0.1644,0.2463,595.7486,0.1519,1.259,6.10,380.93,100861.30
DK-Sor,2006-05-01,14.9925,0.2555,0.4644,939.3377,0.3340,1.260,11.30,380.93,100861.30
DK-Sor,2006-06-01,35.6538,0.8876,0.5479,1125.4588,0.4915,1.149,15.80,380.93,100861.30
DK-Sor,2006-07-01,33.3160,1.1074,0.4427,1302.6342,0.8808,0.376,21.10,380.93,100861.30
DK-Sor,2006-08-01,17.6632,0.2459,0.3115,801.1039,0.4133,1.118,17.60,380.93,100861.30
DK-Sor,2006-09-01,13.9525,0.1593,0.3420,665.5692,0.4731,1.259,17.20,380.93,100861.30
DK-Sor,2006-10-01,8.7254,0.3131,0.3874,262.6384,0.2383,1.260,13.00,380.93,100861.30
ES-ES1,2002-01-01,6.4048,0.3942,0.2076,548.1716,0.5716,1.260,12.20,372.42,101208.91
ES-ES1,2002-02-01,6.7548,0.1508,0.1993,819.9376,0.7300,1.260,14.20,372.42,101208.91
ES-ES1,2002-03-01,11.8087,0.4635,0.2047,945.9653,0.6847,1.259,15.30,372.42,101208.91
ES-ES1,2002-04-01,12.6751,0.1801,0.2084,1244.0469,0.7338,1.190,16.50,372.42,101208.91
ES-ES1,2002-05-01,12.7511,0.2573,0.2154,1672.4834,0.8308,1.095,18.80,372.42,101208.91
ES-ES1,2002-06-01,14.0853,0.5034,0.2630,1681.6005,1.2782,0.600,24.30,372.42,101208.91
ES-ES1,2002-07-01,17.6350,0.6715,0.2955,1719.8631,1.2248,0.215,25.40,372.42,101208.91
ES-ES1,2002-08-01,10.4087,0.1542,0.2859,1385.5857,1.0772,0.450,25.10,372.42,101208.91
ES-ES1,2002-09-01,12.3351,0.6161,0.2711,1149.2488,1.1570,0.558,23.90,372.42,101208.91
ES-ES1,2002-10-01,5.6731,0.5518,0.2116,844.7403,0.8350,0.664,20.40,372.42,101208.91
ES-ES1,2002-11-01,4.6925,0.3193,0.2194,537.3493,0.6278,0.902,16.50,372.42,101208.91
ES-ES1,2002-12-01,4.4532,0.5673,0.2073,425.1652,0.6232,1.139,14.70,372.42,101208.91
ES-ES1,2003-01-01,6.8148,0.7467,0.2142,598.1322,0.5663,1.104,12.20,374.97,101208.91
ES-ES1,2003-02-01,6.8417,0.6473,0.2161,585.0254,0.4696,1.238,11.30,374.97,101208.91
ES-ES1,2003-03-01,12.0199,0.8097,0.2085,998.2317,0.5800,0.812,14.20,374.97,101208.91
ES-ES1,2003-05-01,16.0753,0.8591,0.2335,1623.9168,0.8846,0.610,19.90,374.97,101208.91
ES-ES1,2003-06-01,14.0216,1.0625,0.3040,1698.0973,1.4634,0.300,26.50,374.97,101208.91
ES-ES1,2003-11-01,8.7796,0.7459,0.2645,508.9178,0.7131,1.218,15.90,374.97,101208.91
ES-ES1,2003-12-01,7.8134,0.8276,0.2380,500.1259,0.5683,1.248,13.00,374.97,101208.91
ES-ES1,2004-01-01,9.0090,0.6462,0.2213,659.4777,0.6695,1.259,14.10,376.78,101208.91
ES-ES1,2004-03-01,12.1102,0.9905,0.2112,826.0744,0.4980,1.260,13.20,376.78,101208.91
ES-ES1,2004-04-01,13.6156,0.9281,0.2134,1320.4114,0.6773,1.245,15.90,376.78,101208.91
ES-ES1,2004-05-01,16.8943,0.9827,0.2138,1545.5012,0.8872,1.032,18.50,376.78,101208.91
ES-ES1,2004-06-01,17.5462,1.3130,0.2546,1717.1688,1.3441,0.572,24.60,376.78,101208.91
ES-ES1,2004-07-01,19.8401,1.1723,0.2877,1704.3666,1.3125,0.232,26.20,376.78,101208.91
ES-ES1,2004-09-01,12.6974,0.8940,0.2565,1100.4013,1.1606,0.710,24.80,376.78,101208.91
ES-ES1,2004-12-01,4.7034,0.3973,0.2034,379.7216,0.5534,1.250,12.90,376.78,101208.91
ES-ES1,2005-02-01,7.1930,0.5997,0.1927,678.7075,0.4139,1.259,9.70,378.81,101208.91
ES-ES1,2005-05-01,13.5369,1.0184,0.2160,1621.0660,0.7418,0.281,19.60,378.81,101208.91
ES-ES1,2005-06-01,11.1504,0.8070,0.2704,1724.3338,1.1457,0.219,24.50,378.81,101208.91
ES-ES1,2005-07-01,12.0172,0.8743,0.3141,1658.5424,1.2625,0.150,26.10,378.81,101208.91
ES-ES1,2005-08-01,9.9018,0.6372,0.2790,1511.6874,1.0472,0.169,25.10,378.81,101208.91
ES-ES1,2005-10-01,9.0042,0.5670,0.2078,865.7353,0.7208,0.755,20.10,378.81,101208.91
ES-ES1,2005-11-01,6.1273,0.3661,0.2012,542.2561,0.4643,1.180,14.00,378.81,101208.91
ES-ES1,2005-12-01,6.2490,0.6041,0.2034,511.4832,0.4992,1.260,11.80,378.81,101208.91
ES-ES1,2006-01-01,7.4817,0.6927,0.2059,391.2041,0.5219,1.259,11.10,380.93,101208.91
ES-ES1,2006-02-01,9.0650,0.7697,0.2107,539.7024,0.5574,1.259,11.50,380.93,101208.91
ES-ES1,2006-05-01,16.2857,1.1896,0.2090,1315.4267,0.7948,0.476,20.60,380.93,101208.91
ES-ES1,2006-06-01,16.5203,1.2739,0.2687,1476.3253,1.0291,0.342,23.40,380.93,101208.91
ES-ES1,2006-07-01,9.3596,0.7075,0.2837,1603.9978,1.2992,0.157,27.20,380.93,101208.91
ES-ES1,2006-08-01,7.1980,0.5145,0.2666,1446.7889,1.0830,0.157,25.80,380.93,101208.91
ES-ES1,2006-11-01,7.4514,0.4756,0.2001,426.3349,0.6531,1.168,17.20,380.93,101208.91
ES-ES1,2006-12-01,4.5230,0.0959,0.2173,432.8348,0.5488,1.260,12.80,380.93,101208.91
ES-ES2,2004-07-01,37.0941,1.6671,0.2877,1675.1671,1.3125,0.232,26.20,376.78,101208.91
ES-ES2,2004-08-01,19.7000,1.2885,0.2888,1569.4393,1.5343,0.133,28.10,376.78,101208.91
ES-ES2,2005-06-01,29.3040,2.5719,0.2704,1573.7403,1.1457,0.219,24.50,378.81,101208.91
ES-ES2,2005-07-01,35.9242,1.2765,0.3141,1509.1787,1.2625,0.150,26.10,378.81,101208.91
ES-ES2,2005-08-01,21.7388,0.9998,0.2790,1345.2482,1.0472,0.169,25.10,378.81,101208.91
ES-ES2,2006-07-01,35.8603,0.4976,0.2837,1582.6169,1.2992,0.157,27.20,380.93,101208.91
ES-ES2,2006-08-01,21.7833,1.2892,0.2666,1398.2105,1.0830,0.157,25.80,380.93,101208.91
ES-LMa,2004-01-01,6.4217,1.1627,0.3701,398.3984,0.2619,1.259,9.30,376.78,98341.56
ES-LMa,2004-02-01,9.2031,0.6238,0.3810,515.0728,0.3618,1.259,9.50,376.78,98341.56
ES-LMa,2004-03-01,12.5997,0.5770,0.3867,815.4050,0.4058,1.260,10.80,376.78,98341.56
ES-LMa,2004-04-01,15.8524,0.7394,0.3898,1158.1481,0.6130,1.258,13.50,376.78,98341.56
ES-LMa,2004-05-01,15.4480,0.7401,0.3467,1460.0396,0.8898,1.115,16.60,376.78,98341.56
ES-LMa,2004-06-01,7.1139,0.3841,0.2514,1743.4886,1.7959,0.393,25.30,376.78,98341.56
ES-LMa,2004-11-01,5.1998,0.4437,0.2581,545.0847,0.3243,1.260,9.90,376.78,98341.56
ES-LMa,2004-12-01,5.0415,0.4104,0.2971,444.2629,0.2386,1.259,7.80,376.78,98341.56
ES-LMa,2005-01-01,5.0824,0.5373,0.2937,548.5500,0.2816,1.259,6.50,378.81,98341.56
ES-LMa,2005-02-01,4.6617,0.3228,0.2799,643.1624,0.3184,1.259,6.60,378.81,98341.56
ES-LMa,2005-03-01,7.2806,0.4550,0.2746,905.3889,0.4629,1.260,11.40,378.81,98341.56
ES-LMa,2005-04-01,11.4437,0.6089,0.3133,1261.6224,0.6358,0.951,14.30,378.81,98341.56
ES-LMa,2005-05-01,7.8076,0.4087,0.2549,1462.5941,1.1147,0.340,19.50,378.81,98341.56
ES-LMa,2005-06-01,5.4217,0.2583,0.2254,1651.1482,1.8041,0.164,25.50,378.81,98341.56
ES-LMa,2005-07-01,4.7397,0.2375,0.2184,1685.7042,2.0537,0.118,26.60,378.81,98341.56
ES-LMa,2005-08-01,4.0000,0.3518,0.2095,1478.0903,2.1761,0.145,26.90,378.81,98341.56
ES-LMa,2005-11-01,6.1038,0.4144,0.2867,495.7958,0.3101,1.260,10.50,378.81,98341.56
ES-LMa,2005-12-01,5.5822,0.3525,0.3269,422.9613,0.2414,1.260,7.70,378.81,98341.56
ES-LMa,2006-01-01,6.7394,0.5775,0.3475,479.3626,0.2687,1.259,6.90,380.93,98341.56
ES-LMa,2006-02-01,6.6408,0.6041,0.3532,602.9708,0.3531,1.259,8.00,380.93,98341.56
ES-LMa,2006-03-01,10.4642,0.8540,0.3851,872.3538,0.5138,1.259,11.90,380.93,98341.56
ES-LMa,2006-04-01,16.6678,0.9011,0.4129,1155.0625,0.7260,1.259,15.40,380.93,98341.56
ES-LMa,2006-06-01,4.3678,0.3855,0.2477,1471.8173,1.5604,0.330,23.70,380.93,98341.56
ES-LMa,2006-10-01,3.7459,0.2700,0.2284,682.6331,0.7182,1.174,17.90,380.93,98341.56
ES-LMa,2006-11-01,6.4863,0.4915,0.3268,372.0146,0.3879,1.259,13.40,380.93,98341.56
ES-VDA,2004-05-01,8.0018,0.6599,0.3167,1060.2692,0.5058,1.259,10.80,376.78,82387.54
ES-VDA,2004-06-01,14.6963,0.4486,0.3513,1501.1675,0.8431,1.009,17.20,376.78,82387.54
ES-VDA,2004-07-01,6.3144,0.3176,0.3412,1539.3409,0.9344,0.598,18.90,376.78,82387.54
ES-VDA,2004-09-01,6.0606,0.3998,0.2986,1013.5518,0.6879,0.701,16.70,376.78,82387.54
ES-VDA,2004-10-01,5.4452,0.2060,0.2655,685.8509,0.4600,1.188,12.50,376.78,82387.54
ES-VDA,2004-11-01,1.8519,0.2040,0.2493,583.4499,0.1826,1.260,4.50,376.78,82387.54
ES-VDA,2005-04-01,3.9354,0.7726,0.2586,1191.4409,0.2686,1.260,7.80,378.81,82387.54
ES-VDA,2005-05-01,8.7663,0.3871,0.2903,1433.5809,0.4257,1.155,12.30,378.81,82387.54
ES-VDA,2005-06-01,10.3351,0.5002,0.3132,1533.0217,0.7977,0.492,18.10,378.81,82387.54
ES-VDA,2005-07-01,2.7297,0.1222,0.3024,1621.9992,0.9502,0.345,19.80,378.81,82387.54
ES-VDA,2005-08-01,4.0669,0.2474,0.2947,1348.8796,0.8639,0.781,18.30,378.81,82387.54
ES-VDA,2005-09-01,5.6160,0.2931,0.2841,973.0099,0.5691,1.189,15.30,378.81,82387.54
ES-VDA,2005-10-01,5.3531,0.2030,0.2516,635.8327,0.3505,1.260,12.40,378.81,82387.54
ES-VDA,2005-11-01,3.1035,0.3580,0.2444,473.7208,0.2005,1.259,4.80,378.81,82387.54
ES-VDA,2005-12-01,1.0430,0.1580,0.2369,442.5151,0.1210,1.260,0.00,378.81,82387.54
ES-VDA,2006-03-01,1.9475,0.3281,0.2556,966.6287,0.3150,1.259,6.40,380.93,82387.54
ES-VDA,2006-04-01,4.9044,0.2116,0.2982,1246.4062,0.3646,1.259,8.90,380.93,82387.54
ES-VDA,2006-05-01,10.9424,0.4268,0.3288,1454.0847,0.4195,0.857,12.60,380.93,82387.54
ES-VDA,2006-06-01,3.2665,0.1202,0.3146,1535.7943,0.7561,0.390,16.90,380.93,82387.54
ES-VDA,2006-09-01,6.7029,0.3653,0.2944,941.6772,0.5922,1.169,16.90,380.93,82387.54
ES-VDA,2006-10-01,6.5220,0.2761,0.2894,672.9352,0.3279,1.259,13.40,380.93,82387.54
ES-VDA,2006-11-01,3.8421,0.2954,0.2537,479.1287,0.2815,1.260,8.20,380.93,82387.54
FI-Hyy,2002-04-01,3.7819,0.0909,0.2316,798.6279,0.2751,1.259,4.20,372.42,99240.44
FI-Hyy,2002-05-01,13.0164,0.3745,0.2711,1184.9214,0.4972,1.259,10.70,372.42,99240.44
FI-Hyy,2002-06-01,19.2454,0.6208,0.3715,1104.2290,0.5580,1.154,15.20,372.42,99240.44
FI-Hyy,2002-07-01,14.0560,0.1895,0.3763,1073.1890,0.5612,1.031,18.00,372.42,99240.44
FI-Hyy,2002-08-01,17.0830,0.9604,0.3496,1002.1608,0.6070,0.713,17.50,372.42,99240.44
FI-Hyy,2002-09-01,10.0142,0.2628,0.3104,566.5567,0.2480,0.899,9.20,372.42,99240.44
FI-Hyy,2002-10-01,3.5166,0.1210,0.2733,223.9231,0.1238,1.260,-1.10,372.42,99240.44
FI-Hyy,2003-05-01,10.6312,0.3217,0.2527,894.7805,0.3598,1.260,9.40,374.97,99240.44
